진료개시년도,진료형태소분류코드,시도코드,시도시군구코드,주상병분류,진료인원(명),진료비(천원)
2021,한방기관입원,서울특별시,강서구,피부 및 피하조직의 질환[L00-L99],19,6732
2021,한방기관입원,서울특별시,강서구,근골격계 및 결합조직의 질환[M00-M99],845,1505099
2021,한방기관입원,서울특별시,강서구,비뇨생식기계의 질환[N00-N99],52,37202
2021,한방기관입원,서울특별시,강서구,선천성기형  변형 및 염색체 이상[Q00-Q99],*,*
2021,한방기관입원,서울특별시,강서구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],96,54754
2021,한방기관입원,서울특별시,강서구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],603,1089640
2021,한방기관입원,서울특별시,강서구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],7,2218
2021,한방기관입원,서울특별시,강서구,특수목적코드[U00-U99],41,31062
2021,한방기관입원,서울특별시,구로구,특정감염성 및 기생충성 질환[A00-B99],11,10600
2021,한방기관입원,서울특별시,구로구,신생물[C00-D48],173,299522
2021,한방기관입원,서울특별시,구로구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,구로구,내분비  영양 및 대사질환[E00-E90],45,18649
2021,한방기관입원,서울특별시,구로구,정신 및 행동장애[F00-F99],94,283346
2021,한방기관입원,서울특별시,구로구,신경계의 질환[G00-G99],237,276046
2021,한방기관입원,서울특별시,구로구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,구로구,귀 및 유양돌기의 질환[H60-H95],12,18807
2021,한방기관입원,서울특별시,구로구,순환기계의 질환[I00-I99],164,357692
2021,한방기관입원,서울특별시,구로구,호흡기계의 질환[J00-J99],28,23408
2021,한방기관입원,서울특별시,구로구,소화기계의 질환[K00-K93],42,34853
2021,한방기관입원,서울특별시,구로구,피부 및 피하조직의 질환[L00-L99],6,1203
2021,한방기관입원,서울특별시,구로구,근골격계 및 결합조직의 질환[M00-M99],650,1360283
2021,한방기관입원,서울특별시,구로구,비뇨생식기계의 질환[N00-N99],33,23915
2021,한방기관입원,서울특별시,구로구,선천성기형  변형 및 염색체 이상[Q00-Q99],*,*
2021,한방기관입원,서울특별시,구로구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],44,33311
2021,한방기관입원,서울특별시,구로구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],426,756991
2021,한방기관입원,서울특별시,구로구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],6,3162
2021,한방기관입원,서울특별시,구로구,특수목적코드[U00-U99],44,20862
2021,한방기관입원,서울특별시,금천구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,금천구,신생물[C00-D48],74,160120
2021,한방기관입원,서울특별시,금천구,내분비  영양 및 대사질환[E00-E90],30,17351
2021,한방기관입원,서울특별시,금천구,정신 및 행동장애[F00-F99],91,1703053
2021,한방기관입원,서울특별시,금천구,신경계의 질환[G00-G99],135,154306
2021,한방기관입원,서울특별시,금천구,순환기계의 질환[I00-I99],115,241266
